Navn,OrgNr,NACE_kode,NACE_beskrivelse,aar,AntallAnsatte,driftsinntekter,driftskostnad,driftsresultat,%driftsmargin,finansinntekter,finanskostnader,nettofinans,%nettoFinansMargin,resultatFørSkatt,%resultatFørSkatt,aarsresultat,%aarsResultat,totalresultat,anleggsmidler,omlopsmidler,sumEiendeler,%ROA,innskuttEgenkapital,egenkapital,%ROE,%egenkapitalAndel,sumGjeld,%gjeldsgrad,%gearing,sumEgenkapitalGjeld,langsiktigGjeld,kortsiktigGjeld,%likviditetsgrad,omsetningPrAnsatt,HarRegnskap2023Og2024
KROKEN CARAVAN AS,997615603,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",2024,68,605399196,629094747,-23695551,"-3,91 %",12674048,32153466,-19479418,"-3,22 %",-43174969,"-7,13 %",-33690265,"-5,56 %",-33690265,64508328,337774067,402282394,"-8,37 %",76105608,131269622,"-25,66 %","32,63 %",271012772,"206,46 %","67,37 %",402282394,178670284,92342488,"365,78 %",8902929,1
KS BIL OG KAROSSERI AS,998941881,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,10795530,9854368,941162,"8,72 %",67021,13886,53135,"0,49 %",994297,"9,21 %",773697,"7,17 %",773697,862228,4864811,5727039,"13,51 %",2560000,2720556,"28,44 %","47,50 %",3006483,"110,51 %","52,50 %",5727039,56667,2949816,"164,92 %",1349441,0
K-T INVEST AS,991734791,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,5,8465001,7438539,1026462,"12,13 %",23910,0,23910,"0,28 %",1050372,"12,41 %",819820,"9,68 %",,0,2989843,2989843,"27,42 %",100000,122941,"666,84 %","4,11 %",2866903,"2331,93 %","95,89 %",2989844,0,2866903,"104,29 %",1693000,1
KULSTAD MASKIN AS,996521796,46.610,Engroshandel med maskiner og utstyr til jordbruk og skogbruk,2024,12,32387371,35331738,-2944367,"-9,09 %",81610,1215208,-1133598,"-3,50 %",-4077965,"-12,59 %",-3180993,"-9,82 %",-3180993,1609175,17477827,19087003,"-16,67 %",2904404,2544840,"-125,00 %","13,33 %",16542163,"650,03 %","86,67 %",19087003,8395869,8146294,"214,55 %",2698948,1
KULTORP BILSERVICE AS,922341451,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,9,13298589,12000345,1298244,"9,76 %",38508,21780,16729,"0,13 %",1314973,"9,89 %",1024620,"7,70 %",1024620,1723453,1390499,3113951,"32,90 %",220830,220830,"463,99 %","7,09 %",2893122,"1310,11 %","92,91 %",3113951,24079,2869043,"48,47 %",1477621,0
KUS MC ØSTFOLD AS,821456312,45.402,"Detaljhandel med motorsykler, deler og utstyr",2024,12,45232058,41522178,3709880,"8,20 %",39129,44857,-5728,"-0,01 %",3704151,"8,19 %",2886909,"6,38 %",,811438,13926461,14737899,"19,59 %",30000,11986044,"24,09 %","81,33 %",2751854,"22,96 %","18,67 %",14737898,34594,2717259,"512,52 %",3769338,1
KVAM AUTO AS,987637366,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,24,36858981,35703563,1155418,"3,13 %",201261,8255,193006,"0,52 %",1348424,"3,66 %",1050802,"2,85 %",1050802,1660971,13687762,15348733,"6,85 %",500000,9738100,"10,79 %","63,45 %",5610633,"57,62 %","36,55 %",15348733,0,5610633,"243,96 %",1535791,1
KVAM MEK VERKSTED AS,979492014,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,10,25339341,24502367,836974,"3,30 %",171103,94829,76274,"0,30 %",913248,"3,60 %",732906,"2,89 %",,2734653,6948511,9683164,"7,57 %",1426170,3635150,"20,16 %","37,54 %",6048014,"166,38 %","62,46 %",9683164,2056863,3991151,"174,10 %",2533934,1
KVAVIK AUTO AS,976561104,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,13,67804196,66772764,1031432,"1,52 %",28794,727743,-698949,"-1,03 %",332483,"0,49 %",259864,"0,38 %",259864,644203,11627306,12271510,"2,12 %",2990000,3340319,"7,78 %","27,22 %",8931191,"267,38 %","72,78 %",12271510,1633327,7297864,"159,32 %",5215707,1
KVAVIK DEKK & REP AS,818673582,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,6191147,5836593,354554,"5,73 %",1643,39936,-38293,"-0,62 %",316262,"5,11 %",316262,"5,11 %",,3074,510156,513230,"61,62 %",336000,-627722,"-50,38 %","-122,31 %",1140952,"-181,76 %","222,31 %",513230,37528,1103424,"46,23 %",1031858,1
KVERNELAND BIL AS,977047684,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,257,1780354140,1801978709,-21624569,"-1,21 %",3296513,29878512,-26581999,"-1,49 %",-48206568,"-2,71 %",-38219165,"-2,15 %",-38219165,126709558,643850304,770559862,"-4,96 %",91907701,91907701,"-41,58 %","11,93 %",678652161,"738,41 %","88,07 %",770559862,66814439,611837722,"105,23 %",6927448,1
KVERNELAND BIL VEST AS,975941264,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,132,1067203000,1039585830,27617170,"2,59 %",60531,10693629,-10633098,"-1,00 %",16984072,"1,59 %",13113846,"1,23 %",13113846,32839271,358098676,390937947,"3,35 %",68840783,78629332,"16,68 %","20,11 %",312308616,"397,19 %","79,89 %",390937947,8107158,304201458,"117,72 %",8084871,1
KVERNSTAD BILVERKSTED AS,985706107,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,7,7223921,7251031,-27110,"-0,38 %",19400,2215,17185,"0,24 %",-9926,"-0,14 %",-14541,"-0,20 %",,230360,1786829,2017188,"-0,72 %",180000,503624,"-2,89 %","24,97 %",1513564,"300,53 %","75,03 %",2017188,628179,885385,"201,81 %",1031989,1
KVIKKSERVICE AS,942446748,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,11,8072107,8156247,-84140,"-1,04 %",1188,44403,-43215,"-0,54 %",-127355,"-1,58 %",-100437,"-1,24 %",,294518,1232321,1526839,"-6,58 %",100000,131819,"-76,19 %","8,63 %",1395020,"1058,28 %","91,37 %",1526839,0,1395020,"88,34 %",733828,1
KVINESDAL LAKK OG SKADE AS,886699492,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,9,8826628,8885857,-59229,"-0,67 %",1490,64587,-63097,"-0,71 %",-122326,"-1,39 %",-122326,"-1,39 %",-122326,247100,1257152,1504252,"-8,13 %",380000,-352962,"34,66 %","-23,46 %",1857214,"-526,18 %","123,46 %",1504252,305877,1551336,"81,04 %",980736,1
KVÅL AUTO AS,987972726,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,10,15209684,14782248,427436,"2,81 %",9441,334536,-325095,"-2,14 %",102340,"0,67 %",102340,"0,67 %",102340,2057754,3683250,5741004,"1,78 %",200000,-432631,"-23,66 %","-7,54 %",6173635,"-1427,00 %","107,54 %",5741004,925000,5248635,"70,18 %",1520968,1
KYVIK AUTO AS,928939944,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,10,285786272,281457892,4328380,"1,51 %",,928956,-928956,"-0,33 %",3399425,"1,19 %",2629189,"0,92 %",2629189,10852386,13819095,24671481,"10,66 %",5392987,5931790,"44,32 %","24,04 %",18739691,"315,92 %","75,96 %",24671481,3916667,14823024,"93,23 %",28578627,0
