Navn,OrgNr,NACE_kode,NACE_beskrivelse,aar,AntallAnsatte,driftsinntekter,driftskostnad,driftsresultat,%driftsmargin,finansinntekter,finanskostnader,nettofinans,%nettoFinansMargin,resultatFørSkatt,%resultatFørSkatt,aarsresultat,%aarsResultat,totalresultat,anleggsmidler,omlopsmidler,sumEiendeler,%ROA,innskuttEgenkapital,egenkapital,%ROE,%egenkapitalAndel,sumGjeld,%gjeldsgrad,%gearing,sumEgenkapitalGjeld,langsiktigGjeld,kortsiktigGjeld,%likviditetsgrad,omsetningPrAnsatt,HarRegnskap2023Og2024
AUTOEXPERTEN LAMBERTSETER AS,917410666,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,8941278,8330193,611085,"6,83 %",782,52285,-51503,"-0,58 %",559582,"6,26 %",432221,"4,83 %",,345501,1436450,1781951,"24,26 %",30000,599438,"72,10 %","33,64 %",1182513,"197,27 %","66,36 %",1781951,1793,1180720,"121,66 %",1490213,1
AUTOFIKS AS,997334078,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,10,20511579,18450781,2060798,"10,05 %",23514,18490,5024,"0,02 %",2065822,"10,07 %",1600362,"7,80 %",1600362,1096862,3871596,4968458,"32,21 %",252000,618405,"258,79 %","12,45 %",4350053,"703,43 %","87,55 %",4968458,0,4350053,"89,00 %",2051158,0
AUTOFIX MOSS AS,912782735,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,7,8963300,8719267,244033,"2,72 %",280,6086,-5806,"-0,06 %",238227,"2,66 %",186110,"2,08 %",,331347,1542807,1874154,"9,93 %",30000,716340,"25,98 %","38,22 %",1157815,"161,63 %","61,78 %",1874155,262145,895670,"172,25 %",1280471,1
AUTOFRESH TEAM AS,925797472,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,12,5338955,5339847,-892,"-0,02 %",10259,7369,2890,"0,05 %",1998,"0,04 %",1998,"0,04 %",1998,8362,743583,751945,"0,27 %",30000,-273982,"-0,73 %","-36,44 %",1025927,"-374,45 %","136,44 %",751945,0,1025927,"72,48 %",444913,1
AUTOGLASS AS,968552732,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,7,23781085,21682884,2098201,"8,82 %",321417,1907113,-1585696,"-6,67 %",512505,"2,16 %",512505,"2,16 %",512505,19377483,23416388,42793871,"1,20 %",5221000,23287011,"2,20 %","54,42 %",19506860,"83,77 %","45,58 %",42793871,15333845,4173015,"561,14 %",3397298,1
AUTOGRANDE AS,916797060,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,8,97756813,93214144,4542670,"4,65 %",28948,60401,-31453,"-0,03 %",4511217,"4,61 %",3515588,"3,60 %",3515588,3569557,21187857,24757414,"14,20 %",200000,18458597,"19,05 %","74,56 %",6298817,"34,12 %","25,44 %",24757414,0,6298817,"336,38 %",12219602,1
AUTOHJØRNET AS,988237434,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,5920637,5679371,241266,"4,08 %",0,30553,-30553,"-0,52 %",210713,"3,56 %",210713,"3,56 %",,2083,244692,246775,"85,39 %",100000,-869032,"-24,25 %","-352,16 %",1115807,"-128,40 %","452,16 %",246775,0,1115807,"21,93 %",986773,0
AUTOHUSET SOGN AS,929310772,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,11,104877823,101675523,3202300,"3,05 %",15873,620206,-604333,"-0,58 %",2597967,"2,48 %",2015024,"1,92 %",,1017369,10848436,11865805,"16,98 %",1020000,4702653,"42,85 %","39,63 %",7163152,"152,32 %","60,37 %",11865805,3801432,3361721,"322,70 %",9534348,0
AUTOHUSET VALDRES AS,923255664,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,13,44860166,43317254,1542912,"3,44 %",0,0,-44827,"-0,10 %",1498085,"3,34 %",1140019,"2,54 %",1140019,1147771,15664979,16812750,"6,78 %",1876251,5413628,"21,06 %","32,20 %",11399122,"210,56 %","67,80 %",16812750,0,6914817,"226,54 %",3450782,0
AUTOIN BILSKADE ALNABRU AS,889948272,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,14,18655392,17523850,1131543,"6,07 %",88109,2212,85896,"0,46 %",1217439,"6,53 %",949602,"5,09 %",949602,877088,5347744,6224833,"15,26 %",636518,2997637,"31,68 %","48,16 %",3227196,"107,66 %","51,84 %",6224833,0,3227196,"165,71 %",1332528,1
AUTOIN BILSKADE AS,946171700,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,71,212520104,191459664,21060440,"9,91 %",1391272,615706,775566,"0,36 %",21836005,"10,27 %",17010809,"8,00 %",17010809,17580159,64320000,81900158,"20,77 %",1000000,25301065,"67,23 %","30,89 %",56599093,"223,70 %","69,11 %",81900158,6879600,49719493,"129,37 %",2993241,1
AUTOIN BILSKADE FREDRIKSTAD AS,981093305,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,10,20337234,18692565,1644669,"8,09 %",33870,2740,31130,"0,15 %",1675799,"8,24 %",1262989,"6,21 %",1262989,1457328,5162625,6619952,"19,08 %",714654,3300226,"38,27 %","49,85 %",3319726,"100,59 %","50,15 %",6619952,0,3319726,"155,51 %",2033723,0
AUTOIN BILSKADE SARPSBORG AS,918145613,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,9,21034724,20956435,78289,"0,37 %",96934,251811,-154878,"-0,74 %",-76588,"-0,36 %",-59739,"-0,28 %",-59739,1577796,5797588,7375383,"-0,81 %",2037825,338324,"-17,66 %","4,59 %",7037059,"2079,98 %","95,41 %",7375384,3439800,3597259,"161,17 %",2337192,1
AUTOISME AS,929369742,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,5,80544369,93983230,-13438861,"-16,69 %",1797803,2202237,-404434,"-0,50 %",-13843296,"-17,19 %",-10797771,"-13,41 %",-10797771,3698373,35340780,39039153,"-27,66 %",10172295,10172295,"-106,15 %","26,06 %",28866858,"283,78 %","73,94 %",39039153,0,28866858,"122,43 %",16108874,1
AUTOLAKK MOSS AS,826788062,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,25,39192677,33785538,5407139,"13,80 %",108303,1824371,-1716067,"-4,38 %",3691072,"9,42 %",2864998,"7,31 %",2864998,1642924,9065812,10708736,"26,75 %",671962,980196,"292,29 %","9,15 %",9728540,"992,51 %","90,85 %",10708736,1431,9727109,"93,20 %",1567707,1
AUTOLAKKERING AS,976872169,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,10,27527107,24685161,2841946,"10,32 %",490,38698,-38208,"-0,14 %",2803738,"10,19 %",2186890,"7,94 %",2186890,5256572,6906412,12162984,"17,98 %",542000,8794040,"24,87 %","72,30 %",3368943,"38,31 %","27,70 %",12162984,0,3368943,"205,00 %",2752711,1
AUTOLAKKSERVICE AS,977557011,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,9609562,9887920,-278358,"-2,90 %",719,9025,-8306,"-0,09 %",-286664,"-2,98 %",-286664,"-2,98 %",-286664,165115,3948892,4114007,"-6,97 %",124191,124191,"-230,83 %","3,02 %",3989816,"3212,65 %","96,98 %",4114007,2237353,1752462,"225,33 %",1601594,1
AUTOLINE MERÅKER AS,916375727,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,8387698,8186154,201544,"2,40 %",2926,9570,-6644,"-0,08 %",194900,"2,32 %",152398,"1,82 %",,1735605,1739289,3474894,"4,39 %",500000,2645679,"5,76 %","76,14 %",829215,"31,34 %","23,86 %",3474894,0,829215,"209,75 %",1048462,1
AUTOMANIA BILSERVICE AS,820015312,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,9,3902554,3887026,15528,"0,40 %",629,904,-274,"-0,01 %",15253,"0,39 %",11897,"0,30 %",11897,0,821427,821427,"1,45 %",30000,54147,"21,97 %","6,59 %",767280,"1417,03 %","93,41 %",821427,0,767280,"107,06 %",433617,1
AUTOMANIA OPPEGÅRD AS,919732741,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,9,6866623,6678922,187700,"2,73 %",430,50139,-49709,"-0,72 %",137991,"2,01 %",137991,"2,01 %",137991,0,775853,775853,"17,79 %",30000,-1181335,"-11,68 %","-152,26 %",1957187,"-165,68 %","252,26 %",775853,0,1957187,"39,64 %",762958,1
AUTOMATSERVICE AS,971153695,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,7448709,7338551,110158,"1,48 %",5914,26148,-20234,"-0,27 %",89924,"1,21 %",89924,"1,21 %",,56214,402398,458612,"19,61 %",250000,-354464,"-25,37 %","-77,29 %",813076,"-229,38 %","177,29 %",458612,0,813076,"49,49 %",1489742,0
AUTOMEGLER1 SERVICE AS,997627393,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,11362452,12013248,-650796,"-5,73 %",2170,20734,-18564,"-0,16 %",-669359,"-5,89 %",-669359,"-5,89 %",-669359,796791,1738328,2535119,"-26,40 %",1100000,545326,"-122,74 %","21,51 %",1989793,"364,88 %","78,49 %",2535119,0,1989793,"87,36 %",1420307,1
AUTOMEK AS,879583772,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,8547665,8193512,354153,"4,14 %",13000,517525,-504525,"-5,90 %",-150372,"-1,76 %",-120591,"-1,41 %",-120591,8287380,1430463,9717843,"-1,24 %",200000,1536098,"-7,85 %","15,81 %",8181745,"532,63 %","84,19 %",9717843,7108123,1073623,"133,24 %",1424611,1
AUTOMIX AS,933295664,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,5,4331025,4402615,-71590,"-1,65 %",,86329,-86329,"-1,99 %",-157919,"-3,65 %",-157919,"-3,65 %",-157919,211266,1773454,1984720,"-7,96 %",21000,-136919,"115,34 %","-6,90 %",2121639,"-1549,56 %","106,90 %",1984720,1035581,1086058,"163,29 %",866205,0
AUTOMOBILHALLEN AS,918928545,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,9,4950357,4458300,492057,"9,94 %",-416,50751,-51168,"-1,03 %",440890,"8,91 %",341432,"6,90 %",,253870,935251,1189121,"28,71 %",30000,903513,"37,79 %","75,98 %",285608,"31,61 %","24,02 %",1189121,0,285608,"327,46 %",550040,1
AUTOMOTOR AS,830617272,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,9,56958054,51467386,5490667,"9,64 %",12125,248115,-235990,"-0,41 %",5254678,"9,23 %",4070099,"7,15 %",4070099,23472,21750868,21774340,"18,69 %",24430,5856489,"69,50 %","26,90 %",15917852,"271,80 %","73,10 %",21774340,14104913,1812939,"1199,76 %",6328673,1
AUTOPARTNER AS,974695618,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,10,19510948,17528460,1982488,"10,16 %",9035,56507,-47472,"-0,24 %",1935016,"9,92 %",1509085,"7,73 %",,1661509,4286422,5947931,"25,37 %",100000,1521363,"99,19 %","25,58 %",4426568,"290,96 %","74,42 %",5947931,939402,3487167,"122,92 %",1951095,0
AUTOPARTNER EGERSUND AS,994536176,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,12,18311098,17616706,694392,"3,79 %",41680,9731,31949,"0,17 %",726341,"3,97 %",570176,"3,11 %",570176,247706,4533090,4780797,"11,93 %",160515,1469698,"38,80 %","30,74 %",3311099,"225,29 %","69,26 %",4780797,0,3311099,"136,91 %",1525925,0
AUTOPARTNER FREDRIKSTAD AS,980144771,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,6,112164872,112134314,30558,"0,03 %",333391,5634,327757,"0,29 %",358315,"0,32 %",259096,"0,23 %",259096,2530613,11515198,14045812,"1,84 %",187700,11248949,"2,30 %","80,09 %",2796863,"24,86 %","19,91 %",14045812,0,2796863,"411,72 %",18694145,0
AUTO-PLUSS AS,995640929,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,31,35067362,32549087,2518274,"7,18 %",9973,1149315,-1139343,"-3,25 %",1378931,"3,93 %",1032190,"2,94 %",1032190,13432325,9912481,23344806,"4,42 %",1063098,2967318,"34,79 %","12,71 %",20377489,"686,73 %","87,29 %",23344806,15041330,5336159,"185,76 %",1131205,1
AUTOPRODUCTS AS,995080125,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,10,47084569,42287165,4797404,"10,19 %",310492,30810,279682,"0,59 %",5077086,"10,78 %",3956623,"8,40 %",,1141764,15964302,17106066,"23,13 %",105000,8111918,"48,78 %","47,42 %",8994148,"110,88 %","52,58 %",17106066,111016,8883132,"179,71 %",4708457,1
AUTOPROFF NORGE AS,928117359,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,5,137285151,137193053,92098,"0,07 %",2019,541427,-539409,"-0,39 %",-447310,"-0,33 %",-447310,"-0,33 %",-447310,558675,17616803,18175478,"-2,46 %",30000,-2207775,"20,26 %","-12,15 %",20383253,"-923,25 %","112,15 %",18175478,13372916,7010337,"251,30 %",27457030,0
AUTOPROTECT AS,989038230,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,6517105,6477177,39928,"0,61 %",102084,97178,4906,"0,08 %",44834,"0,69 %",44834,"0,69 %",,1236838,1312464,2549302,"1,76 %",100000,887220,"5,05 %","34,80 %",1662081,"187,34 %","65,20 %",2549302,1020509,641572,"204,57 %",814638,1
AUTOPULS AS,913284798,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,13,14882011,14522555,359456,"2,42 %",69,83694,-83625,"-0,56 %",275831,"1,85 %",215148,"1,45 %",215148,445627,2495476,2941103,"7,32 %",30000,671800,"32,03 %","22,84 %",2269302,"337,79 %","77,16 %",2941103,785547,1483755,"168,19 %",1144770,1
AUTOPUNKT BILVERKSTED AS,927494809,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,1102259,1279985,-177725,"-16,12 %",623,4772,-4149,"-0,38 %",-181874,"-16,50 %",-181874,"-16,50 %",,776000,314606,1090606,"-16,68 %",34430,-138573,"131,25 %","-12,71 %",1229179,"-887,03 %","112,71 %",1090606,1004269,224910,"139,88 %",183710,1
AUTORIA BIL AS,928846709,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,169,1380463139,1404271968,-23808829,"-1,72 %",796338,10555702,-9759364,"-0,71 %",-33568192,"-2,43 %",-26305243,"-1,91 %",-26305243,43685457,237126123,280811580,"-9,37 %",11202688,40086665,"-65,62 %","14,28 %",240724915,"600,51 %","85,72 %",280811580,0,240724915,"98,51 %",8168421,1
AUTORIAGRUPPEN AS,929118812,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,16,23823048,34410496,-10587448,"-44,44 %",6108698,11386906,-5278208,"-22,16 %",-15865656,"-66,60 %",-13129636,"-55,11 %",,112317913,73700561,186018474,"-7,06 %",189870594,83312847,"-15,76 %","44,79 %",102705626,"123,28 %","55,21 %",186018473,13950000,88755626,"83,04 %",1488941,1
AUTORINGEN OSLO AS,930688266,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,8,1190937094,1189201691,1735403,"0,15 %",674867,10919,663948,"0,06 %",2399351,"0,20 %",1831787,"0,15 %",1831787,4047728,25480129,29527857,"6,20 %",2500000,4723366,"38,78 %","16,00 %",24804491,"525,14 %","84,00 %",29527857,1307472,23497019,"108,44 %",148867137,0
AUTOSALG AS,940283280,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,17,71503392,69063057,2440336,"3,41 %",26754,1492924,-1466170,"-2,05 %",974166,"1,36 %",753962,"1,05 %",,14651313,32170758,46822071,"1,61 %",100000,7043947,"10,70 %","15,04 %",39778125,"564,71 %","84,96 %",46822072,18393729,21384396,"150,44 %",4206082,1
AUTOSALG AS,964405689,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,22,109249650,106489865,2759785,"2,53 %",86051,1398324,-1312273,"-1,20 %",1447513,"1,32 %",1447513,"1,32 %",1447513,10234341,17261950,27496291,"5,26 %",10347055,4619577,"31,33 %","16,80 %",22876714,"495,21 %","83,20 %",27496291,10793267,12083447,"142,86 %",4965893,1
AUTOSALG KIRKENES AS,986694676,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,6,18504793,19223177,-718384,"-3,88 %",39292,604983,-565691,"-3,06 %",-1284076,"-6,94 %",-973499,"-5,26 %",,4724418,7724123,12448540,"-7,82 %",3195000,1770181,"-54,99 %","14,22 %",10678360,"603,24 %","85,78 %",12448540,9315622,1362738,"566,81 %",3084132,0
AUTOSALG VEST AS,925821659,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,5,47367691,45845071,1522620,"3,21 %",13754,117627,-103873,"-0,22 %",1418748,"3,00 %",1106624,"2,34 %",1106624,745269,9186631,9931900,"11,14 %",30000,6806806,"16,26 %","68,53 %",3125094,"45,91 %","31,47 %",9931901,1851483,1273612,"721,31 %",9473538,1
AUTOSENTER LILLESAND AS,831574682,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,5,25391689,25305614,86075,"0,34 %",138,27041,-26903,"-0,11 %",59173,"0,23 %",46155,"0,18 %",46155,30644,635686,666330,"6,93 %",124430,15784,"292,42 %","2,37 %",650546,"4121,55 %","97,63 %",666330,98690,551856,"115,19 %",5078338,0
AUTOSENTER SANDNES AS,921389434,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,7,43684718,44070431,-385712,"-0,88 %",262,206183,-205922,"-0,47 %",-591634,"-1,35 %",-463648,"-1,06 %",-463648,284032,2631102,2915133,"-15,90 %",30000,680411,"-68,14 %","23,34 %",2234722,"328,44 %","76,66 %",2915133,825142,1409580,"186,66 %",6240674,1
AUTOSENTERET LØTEN AS,913406931,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,7,12817619,10280119,2537500,"19,80 %",89010,45155,43855,"0,34 %",2581356,"20,14 %",2020890,"15,77 %",,1468448,3754308,5222756,"38,69 %",30000,1097287,"184,17 %","21,01 %",4125470,"375,97 %","78,99 %",5222757,873278,3252192,"115,44 %",1831088,0
AUTOSENTERET SPILLUM AS,930715646,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,5,34534304,34995882,-461578,"-1,34 %",5002,222971,-217969,"-0,63 %",-679547,"-1,97 %",-532133,"-1,54 %",-532133,313656,766920,1080576,"-49,25 %",744430,-295277,"180,21 %","-27,33 %",1375853,"-465,95 %","127,33 %",1080576,0,1375853,"55,74 %",6906861,1
AUTOSENTERET SVEBERG VERKSTED AS,933628167,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,34,15594477,14334122,1260355,"8,08 %",0,77014,-77014,"-0,49 %",1183340,"7,59 %",779401,"5,00 %",,5513070,4246526,9759596,"7,99 %",40000,40000,"1948,50 %","0,41 %",9719596,"24298,99 %","99,59 %",9759596,0,9719596,"43,69 %",458661,0
AUTOSENTRUM AS,992273550,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,12447530,12148035,299495,"2,41 %",34905,44099,-9194,"-0,07 %",290301,"2,33 %",225765,"1,81 %",,669819,3317567,3987386,"5,66 %",400000,2609410,"8,65 %","65,44 %",1377977,"52,81 %","34,56 %",3987387,279114,1098863,"301,91 %",2074588,1
AUTOSERVICE AS,886377622,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,11,114169838,108995618,5174220,"4,53 %",295716,511994,-216278,"-0,19 %",4957942,"4,34 %",3858925,"3,38 %",3858925,2238880,28155655,30394534,"12,70 %",3800000,12690960,"30,41 %","41,75 %",17703574,"139,50 %","58,25 %",30394534,3376143,14327431,"196,52 %",10379076,1
AUTOSERVICE AS,918089861,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,11,34887593,34642946,244646,"0,70 %",34549,193984,-159434,"-0,46 %",85212,"0,24 %",63375,"0,18 %",63375,2088684,12917208,15005892,"0,42 %",4800000,8243947,"0,77 %","54,94 %",6761945,"82,02 %","45,06 %",15005892,350732,6411212,"201,48 %",3171599,1
AUTOSERVICE AS,981613694,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,12,16879376,16413074,466303,"2,76 %",94970,8656,86313,"0,51 %",552616,"3,27 %",431521,"2,56 %",431521,1046246,4448953,5495199,"7,85 %",1305977,3401994,"12,68 %","61,91 %",2093205,"61,53 %","38,09 %",5495199,483058,1610147,"276,31 %",1406615,1
AUTOSERVICE ELVERUM AS,917568243,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,7,8854721,9221757,-367035,"-4,15 %",527,74463,-73936,"-0,83 %",-440971,"-4,98 %",-440971,"-4,98 %",,142650,457275,599925,"-73,50 %",24430,-1273761,"34,62 %","-212,32 %",1873686,"-147,10 %","312,32 %",599925,47436,1826250,"25,04 %",1264960,1
AUTOSERVICE FREDRIKSTAD AS,979612664,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,7,7122449,5821431,1301018,"18,27 %",98758,1810,96948,"1,36 %",1397966,"19,63 %",1091184,"15,32 %",1091184,2515400,4415598,6930998,"15,74 %",100000,4929100,"22,14 %","71,12 %",2001898,"40,61 %","28,88 %",6930998,273830,1728068,"255,52 %",1017493,1
AUTOSERVICE MOSJØEN AS,913364430,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,7,14020089,11928585,2091504,"14,92 %",62784,110719,-47935,"-0,34 %",2043569,"14,58 %",1587878,"11,33 %",1587878,1497600,3961689,5459289,"29,09 %",100000,664618,"238,92 %","12,17 %",4794671,"721,42 %","87,83 %",5459289,1504375,3290296,"120,41 %",2002870,1
AUTOSERVICE MOSS AS,995666464,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,7,12103619,11722855,380764,"3,15 %",85,40376,-40291,"-0,33 %",340473,"2,81 %",262436,"2,17 %",262436,481409,2113784,2595193,"10,11 %",100000,1330898,"19,72 %","51,28 %",1264294,"95,00 %","48,72 %",2595193,75174,1189120,"177,76 %",1729088,1
AUTOSERVICE RØYKEN AS,981106423,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,9,15358258,15058682,299576,"1,95 %",136888,82794,54094,"0,35 %",353670,"2,30 %",227270,"1,48 %",227270,5424534,6010921,11435455,"1,99 %",262230,8268666,"2,75 %","72,31 %",3166789,"38,30 %","27,69 %",11435455,924325,2242464,"268,05 %",1706473,0
AUTOSERVICE SOLØR AS,889452722,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,10,26041874,22959547,3082327,"11,84 %",246933,18008,228925,"0,88 %",3311252,"12,72 %",2582671,"9,92 %",2582671,1061334,14785020,15846354,"16,30 %",150000,10610104,"24,34 %","66,96 %",5236250,"49,35 %","33,04 %",15846354,0,5236250,"282,36 %",2604187,1
AUTOSERVICE TROSVIK AS,922789320,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,7,12015279,11002286,1012993,"8,43 %",2222,483,1738,"0,01 %",1014732,"8,45 %",791232,"6,59 %",791232,621952,3450382,4072334,"19,43 %",30000,2667475,"29,66 %","65,50 %",1404858,"52,67 %","34,50 %",4072334,26131,1378727,"250,26 %",1716468,0
AUTOSERVICE VIKEN AS,813185482,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,4695690,4488375,207316,"4,42 %",1139,1585,-447,"-0,01 %",206869,"4,41 %",163960,"3,49 %",163960,0,1670782,1670782,"9,81 %",100000,686269,"23,89 %","41,07 %",984513,"143,46 %","58,93 %",1670782,0,984513,"169,71 %",782615,1
AUTO-SHINE AS,830038442,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,7,5273735,2506649,2767086,"52,47 %",114047,1532,112515,"2,13 %",2879601,"54,60 %",2264055,"42,93 %",,1250539,2920409,4170948,"54,28 %",30000,2514051,"90,06 %","60,28 %",1656897,"65,91 %","39,72 %",4170948,22586,1634311,"178,69 %",753391,1
AUTOSHINE BERGER AS,924570997,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,11,8332450,5575756,2756694,"33,08 %",637870,6722,631147,"7,57 %",3387841,"40,66 %",2781382,"33,38 %",,3560000,5054193,8614193,"32,29 %",30000,2671273,"104,12 %","31,01 %",5942920,"222,48 %","68,99 %",8614193,0,5942920,"85,05 %",757495,1
AUTOSHINE CAR AS,932415070,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,866236,863882,2354,"0,27 %",67,,67,"0,01 %",2421,"0,28 %",2421,"0,28 %",2421,114218,155917,270135,"0,90 %",24430,-45032,"-5,38 %","-16,67 %",315168,"-699,88 %","116,67 %",270135,0,315168,"49,47 %",144373,0
AUTOSHOP AS,912902013,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,5,79964002,77833408,2130594,"2,66 %",122551,643096,-520545,"-0,65 %",1610049,"2,01 %",1220466,"1,53 %",,226951,20293013,20519964,"5,95 %",90000,6827144,"17,88 %","33,27 %",13692820,"200,56 %","66,73 %",20519964,12102898,1589921,"1276,35 %",15992800,1
AUTO-SKADE AS,994837818,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,14,44070736,41357147,2713588,"6,16 %",4231,18282,-14050,"-0,03 %",2699538,"6,13 %",1923383,"4,36 %",1923383,1471838,10209409,11681247,"16,47 %",259783,3034298,"63,39 %","25,98 %",8646949,"284,97 %","74,02 %",11681247,1526513,7120436,"143,38 %",3147910,1
AUTOSKADE ELVERUM AS,982735866,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,14,35687679,33415868,2271811,"6,37 %",189659,12755,176904,"0,50 %",2448714,"6,86 %",1909423,"5,35 %",,2400105,8496034,10896139,"17,52 %",539600,2997996,"63,69 %","27,51 %",7898144,"263,45 %","72,49 %",10896139,0,7898144,"107,57 %",2549120,0
AUTOSKADE TYNSET AS,999257305,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,12,12520957,12348793,172164,"1,38 %",8285,675284,-666999,"-5,33 %",-494835,"-3,95 %",-494835,"-3,95 %",,6902605,4125787,11028392,"-4,49 %",500000,122772,"-403,05 %","1,11 %",10905620,"8882,82 %","98,89 %",11028392,6034242,4871378,"84,69 %",1043413,1
AUTOSPEED AS,983879314,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,5,8590932,8201557,389375,"4,53 %",38669,52458,-13789,"-0,16 %",375586,"4,37 %",292697,"3,41 %",,209040,2468318,2677358,"10,93 %",349300,1489084,"19,66 %","55,62 %",1188274,"79,80 %","44,38 %",2677358,0,1188274,"207,72 %",1718186,0
AUTOSPESIALISTEN TØNSBERG AS,918583343,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,21,54738638,52301638,2437000,"4,45 %",278503,47645,230858,"0,42 %",2667858,"4,87 %",2120939,"3,87 %",,850158,21235612,22085770,"9,60 %",4837624,14949946,"14,19 %","67,69 %",7135823,"47,73 %","32,31 %",22085769,1500000,5635823,"376,80 %",2606602,0
