organisasjonsnummer,navn,antall_ansatte,regnskapsaar,sum_driftsinntekter,sum_driftskostnad,driftsresultat,sum_finansinntekter,sum_finanskostnad,nettofinans,ordinaert_resultat_foer_skatt,aarsresultat,totalresultat,sum_anleggsmidler,sum_omloepsmidler,sum_eiendeler,innskutt_egenkapital,sum_egenkapital,sum_gjeld,sum_egenkapital_gjeld,sum_langsiktig_gjeld,sum_kortsiktig_gjeld
913688635,AUTO INDUSTRI AS,7,2025,11808243.0,9537645.0,2270598.0,143251.0,877.0,142374.0,2412971.0,1912518.0,1912518.0,33092.0,7936760.0,7969852.0,181000.0,5095909.0,2873943.0,7969852.0,,2873943.0
995302187,BERGEN TRUCKSERVICE AS,6,2025,18034309.0,15956538.0,2077771.0,171857.0,73642.0,98215.0,2175987.0,1697567.0,1697567.0,1422746.0,7775591.0,9198338.0,100000.0,2523571.0,6674767.0,9198338.0,538858.0,6135909.0
879970482,AUTO 8-8 TRIO AS,12,2025,47877845.0,49506546.0,-1628701.0,104091.0,16581.0,87510.0,-1541191.0,-1888677.0,,1526004.0,12263896.0,13789899.0,2683672.0,8030358.0,5759542.0,13789899.0,,5759542.0
813185482,AUTOSERVICE VIKEN AS,6,2025,6011711.0,5877624.0,134087.0,1312.0,990.0,322.0,134409.0,104945.0,104945.0,,1469883.0,1469883.0,100000.0,791214.0,678669.0,1469883.0,,678669.0
924570997,AUTOSHINE BERGER AS,11,2025,8481750.0,6318602.0,2163148.0,13643.0,12131.0,1511.0,2164659.0,1689233.0,,6967000.0,2553514.0,9520514.0,30000.0,7317507.0,2203008.0,9520514.0,,2203008.0
970898115,BIL OG MASKIN AS,,2025,14056953.0,18413861.0,-4356908.0,32830.0,52510.0,-19681.0,-4376588.0,-3927917.0,,1643461.0,4731894.0,6375356.0,100000.0,2340003.0,4035353.0,6375356.0,,2646185.0
994714260,BILFOKUS AS,21,2025,216696327.0,210245230.0,6451097.0,318449.0,1635246.0,-1316797.0,5134301.0,4045355.0,4045355.0,22466264.0,29804469.0,52270733.0,20263786.0,20263786.0,32006947.0,52270733.0,15704522.0,16302425.0
993098647,BILGUMMILAGERET AS,18,2025,35017026.0,31836325.0,3180701.0,14720.0,298989.0,-284269.0,2896432.0,2258842.0,2258842.0,1179300.0,10477292.0,11656592.0,914323.0,2488898.0,9167694.0,11656592.0,,9167694.0
985422613,BILSKADESENTERET NARVIK AS,9,2025,28837262.0,23269987.0,5567276.0,269192.0,2014.0,267178.0,5834454.0,4165327.0,4165327.0,5140435.0,11462558.0,16602992.0,830000.0,7582710.0,9020283.0,16602992.0,90656.0,8929627.0
993528099,BÅRD HENRIKSEN BILVERKSTED AS,6,2025,11481101.0,9089436.0,2391666.0,214857.0,2986.0,211871.0,2603537.0,2030042.0,2030042.0,5838300.0,8458433.0,14296733.0,100000.0,12895790.0,1400942.0,14296733.0,285458.0,1115484.0
