organisasjonsnummer,navn,naeringskode,naeringsbeskrivelse,organisasjonsform,kommunenavn,postnummer,poststed,konkurs,under_avvikling,regnskapsaar,fra_dato,til_dato,regnskapstype,oppstillingsplan,sum_driftsinntekter,sum_driftskostnad,driftsresultat,sum_finansinntekter,sum_finanskostnad,ordinaert_resultat_foer_skatt,aarsresultat,sum_eiendeler,sum_anleggsmidler,sum_omloepsmidler,sum_egenkapital,sum_gjeld,sum_kortsiktig_gjeld,sum_langsiktig_gjeld
964517991,STRAND BILSENTER AS,47.810,Detaljhandel med motorvogner,AS,STRAND,4100,JØRPELAND,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,,19773.0,-19773.0,239.0,,-19534.0,-19534.0,5237932.0,0.0,5237932.0,843427.0,4394505.0,,4394505.0
899203852,STRAND GRUPPEN AS,47.810,Detaljhandel med motorvogner,AS,STRAND,4120,TAU,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,,22827.0,-22827.0,894152.0,386325.0,485000.0,485000.0,18883294.0,9015000.0,9868294.0,13640910.0,5242384.0,1119.0,5241265.0
930802352,STRAND MOTOR OG MEKANISKE,47.810,Detaljhandel med motorvogner,ENK,RINGSAKER,2383,BRUMUNDDAL,False,False,,,,,,,,,,,,,,,,,,,
935069254,STRANDBYGDA AUTO AS,47.810,Detaljhandel med motorvogner,AS,ELVERUM,2411,ELVERUM,False,False,,,,,,,,,,,,,,,,,,,
934016521,STRANDBYGDA VINTAGE GARAGE BY LANGHOLEN,47.810,Detaljhandel med motorvogner,ENK,ELVERUM,2411,ELVERUM,False,False,,,,,,,,,,,,,,,,,,,
934866428,STRANDSETER BIL & SERVICE,47.810,Detaljhandel med motorvogner,ENK,KONGSVINGER,2209,KONGSVINGER,False,False,,,,,,,,,,,,,,,,,,,
975964310,STRANDVEIEN AUTO AS,95.310,Reparasjon og vedlikehold av motorvogner,AS,TRONDHEIM,7047,TRONDHEIM,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,164296631.0,166579965.0,-2283333.0,585912.0,2751502.0,-4448923.0,-3613977.0,69711199.0,23252350.0,46458849.0,30748340.0,38962859.0,23193147.0,15769712.0
923625747,STRAUME & CO,47.810,Detaljhandel med motorvogner,ENK,ASKØY,5302,STRUSSHAMN,False,False,,,,,,,,,,,,,,,,,,,
885525652,STRAWBERRY AS,47.810,Detaljhandel med motorvogner,AS,OSLO,0751,OSLO,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,4063.0,3246.0,817.0,250550.0,4.0,251363.0,251184.0,761860.0,489292.0,272568.0,446181.0,315679.0,46179.0,269500.0
925177172,STRYSSE AUTO,47.810,Detaljhandel med motorvogner,ENK,DRAMMEN,3030,DRAMMEN,False,False,,,,,,,,,,,,,,,,,,,
932409763,STRØMMEN AUTO JUSUFOVIC,47.810,Detaljhandel med motorvogner,ENK,RÆLINGEN,2006,LØVENSTAD,False,False,,,,,,,,,,,,,,,,,,,
936350674,STRØMMEN BILFORHANDLER AS,47.810,Detaljhandel med motorvogner,AS,LILLESTRØM,1467,STRØMMEN,False,False,,,,,,,,,,,,,,,,,,,
992381736,STRØMMEN BILFORMIDLING AS,47.810,Detaljhandel med motorvogner,AS,RINGERIKE,3515,HØNEFOSS,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,92036001.0,90294429.0,1741572.0,,790496.0,951076.0,740981.0,15024166.0,3051667.0,11972499.0,4386451.0,10637715.0,10541721.0,95994.0
923713573,STUB INVEST AS,47.810,Detaljhandel med motorvogner,AS,MOLDE,6413,MOLDE,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,,11946.0,-11946.0,30.0,1103.0,-13019.0,-10175.0,8981982.0,8530679.0,451303.0,7981982.0,1000000.0,1000000.0,0.0
937566794,STYLE AUTO AS,47.810,Detaljhandel med motorvogner,AS,VESTBY,1543,VESTBY,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,57401728.0,58952482.0,-1550754.0,19757.0,1282991.0,-2813988.0,-2813988.0,16890092.0,498350.0,16391742.0,769749.0,16120343.0,14236107.0,1884236.0
974477904,STØLAN BIL KRISTIAN STØLAN,47.810,Detaljhandel med motorvogner,ENK,MIDT-TELEMARK,3802,BØ I TELEMARK,False,False,,,,,,,,,,,,,,,,,,,
994949705,STØRE BIL,47.810,Detaljhandel med motorvogner,ENK,STJØRDAL,7506,STJØRDAL,False,False,,,,,,,,,,,,,,,,,,,
924498773,STØRE CLASSIC CARS AS,47.810,Detaljhandel med motorvogner,AS,ULLENSAKER,2040,KLØFTA,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,,215435.0,-215435.0,,516.0,-215951.0,-189275.0,492133.0,57023.0,435110.0,122561.0,369572.0,21895.0,347677.0
989852744,STØRE EIENDOM AS,47.810,Detaljhandel med motorvogner,AS,ULLENSAKER,2040,KLØFTA,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,2127264.0,752359.0,1374905.0,1236157.0,635268.0,1975794.0,1630452.0,22508852.0,20101807.0,2407046.0,20801718.0,1707134.0,872209.0,834925.0
996209008,STØREN BILSENTER AS,47.810,Detaljhandel med motorvogner,AS,MIDTRE GAULDAL,7290,STØREN,False,False,2025,2025-01-01,2025-12-31,SELSKAP,store,79202474.0,77338581.0,1863893.0,473891.0,96170.0,2241614.0,1820619.0,22734178.0,2624332.0,20109846.0,13314422.0,9419756.0,8597256.0,822500.0
998793238,STÅL OG BYGGMONTERING AS,47.810,Detaljhandel med motorvogner,AS,BERGEN,5179,GODVIK,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,112197.0,241971.0,-129774.0,157.0,,-129617.0,-129617.0,58875.0,49833.0,9042.0,-313189.0,372064.0,372064.0,0.0
984319010,STÅLE MATRE BILIMPORT,47.810,Detaljhandel med motorvogner,ENK,BERGEN,5174,MATHOPEN,False,False,,,,,,,,,,,,,,,,,,,
950675764,STÅRHEIM BILVERKSTED AS,47.810,Detaljhandel med motorvogner,AS,STAD,6777,STÅRHEIM,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,74992163.0,75097514.0,-105350.0,193151.0,167383.0,-79582.0,-67244.0,26360611.0,4627827.0,21732784.0,19061690.0,7298921.0,7298921.0,0.0
927116987,SUBER AS,47.810,Detaljhandel med motorvogner,AS,OSLO,0962,OSLO,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,2975760.0,3175745.0,-199985.0,1100.0,371.0,-199256.0,-199256.0,484119.0,0.0,484119.0,-21572.0,505690.0,505690.0,0.0
970164855,SUL PRODUKTER Karin Rekve,47.810,Detaljhandel med motorvogner,ENK,VERDAL,7660,VUKU,False,False,,,,,,,,,,,,,,,,,,,
925057681,SULA BILSALG V/HELGE VÅGNES,47.810,Detaljhandel med motorvogner,ENK,SULA,6030,LANGEVÅG,False,False,,,,,,,,,,,,,,,,,,,
925043419,SULA HENGERSERVICE BJØRN OLAV DAHL,47.810,Detaljhandel med motorvogner,ENK,SULA,6030,LANGEVÅG,False,False,,,,,,,,,,,,,,,,,,,
936997333,SULEJMANAGIC AUTO,47.810,Detaljhandel med motorvogner,ENK,FREDRIKSTAD,1671,KRÅKERØY,False,False,,,,,,,,,,,,,,,,,,,
957217028,SULLAND AMSRUDVEGEN AS,95.310,Reparasjon og vedlikehold av motorvogner,AS,GJØVIK,2827,HUNNDALEN,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,132970736.0,128638044.0,4332692.0,209512.0,1171871.0,3370334.0,2628140.0,42069911.0,2842331.0,39227580.0,12849875.0,29220035.0,29220035.0,0.0
929451333,SULLAND AUTO AS,47.810,Detaljhandel med motorvogner,AS,HAMAR,2321,HAMAR,False,False,2024,2024-01-01,2024-12-31,SELSKAP,store,1725826166.0,1682354538.0,43471628.0,2206537.0,9313414.0,36364750.0,28359326.0,530256519.0,51167342.0,479089178.0,141116114.0,389140406.0,389140406.0,0.0
