Navn,OrgNr,NACE_kode,NACE_beskrivelse,AntallAnsatte,aar,driftsinntekter,driftskostnad,driftsresultat,%Driftsmargin_BMRFY,finansinntekter,finanskostnader,%NettoFinansMargin_BMRFY,nettofinans,resultatFørSkatt,%ResultatFørSkatt_BMRFY,aarsresultat,%nettoresultatmargin_BMRFY,totalresultat,anleggsmidler,omlopsmidler,%likviditetsgrad_BMRFY,sumEiendeler,%ROA_BMRFY,innskuttEgenkapital,egenkapital,%egenkapitalandel_BMRFY,%ROE_BMRFY,sumGjeld,%gearing_BMRFY,%Gjeldsgrad_BMRFY,sumEgenkapitalGjeld,langsiktigGjeld,kortsiktigGjeld,omsetningPerAnsatt_BMRFY
VIGELAND BIL AS,979501528,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",14,2023,22240842,22036417,204425,"0,92 %",11493,276718,"-1,19 %",-265225,-60799,"-0,27 %",-47824,"-0,22 %",,1616195,7484567,"123,50 %",9100762,"-0,53 %",,2280524,"25,06 %","-2,10 %",6820237,"74,94 %","299,06 %",9100762,759653,6060585,1588632
VIGELAND TRAFIKKSENTER AS,976329783,47.300,Detaljhandel med drivstoff til motorvogner,9,2023,6110283,6237230,-126947,"-2,08 %",25169,14521,"0,17 %",10648,-116299,"-1,90 %",-88661,"-1,45 %",-88661,748359,1374017,"164,19 %",2122376,"-4,18 %",,1285550,"60,57 %","-6,90 %",836826,"39,43 %","65,09 %",2122376,0,836826,678920
VIKENE AS,923146849,45.191,"Agentur- og engroshandel med andre motorvogner, unntatt motorsykler",6,2023,49607488,47222939,2384550,"4,81 %",61898,345204,"-0,57 %",-283306,2101244,"4,24 %",1638949,"3,30 %",,456769,20397456,"174,68 %",20854225,"7,86 %",,9176901,"44,00 %","17,86 %",11677324,"56,00 %","127,25 %",20854225,0,11677324,8267915
VIKERSUND AUTO AS,928342158,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,16655188,15673076,982112,"5,90 %",8103,61662,"-0,32 %",-53559,928554,"5,58 %",724135,"4,35 %",724135,741046,3623794,"86,86 %",4364839,"16,59 %",,193084,"4,42 %","375,04 %",4171755,"95,58 %","2160,59 %",4364839,0,4171755,2081899
VIKINGVASK AS,823578792,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",7,2023,18425762,16511246,1914516,"10,39 %",68733,239588,"-0,93 %",-170855,1743661,"9,46 %",1425787,"7,74 %",,1165366,11109010,"403,71 %",12274376,"11,62 %",,6630727,"54,02 %","21,50 %",5643649,"45,98 %","85,11 %",12274376,2891907,2751741,2632252
VINJES TRANSPORT AS,929472020,43.990,Annen spesialisert bygge- og anleggsvirksomhet,154,2023,211847736,212438011,-590275,"-0,28 %",2196124,2272206,"-0,04 %",-76082,-666357,"-0,31 %",-48644,"-0,02 %",,69208443,54615983,"148,48 %",123824426,"-0,04 %",,29237409,"23,61 %","-0,17 %",94587017,"76,39 %","323,51 %",123824426,57803292,36783725,1375635
VINOR BIL II AS,985978743,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,8634252,8973293,-339041,"-3,93 %",89412,9717,"0,92 %",79695,-259346,"-3,00 %",-221118,"-2,56 %",,3201089,2111951,"89,94 %",5313040,"-4,16 %",,2964902,"55,80 %","-7,46 %",2348138,"44,20 %","79,20 %",5313040,0,2348138,1439042
VINSTRA KAROSSERI AS,917829446,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",10,2023,21824458,18757637,3066822,"14,05 %",404099,82111,"1,48 %",321987,3388809,"15,53 %",2675507,"12,26 %",,3042693,11658632,"209,02 %",14701325,"18,20 %",,8349405,"56,79 %","32,04 %",6351920,"43,21 %","76,08 %",14701325,774159,5577761,2182446
VOGN-SERVICE AS,821523842,45.191,"Agentur- og engroshandel med andre motorvogner, unntatt motorsykler",10,2023,188319931,178845958,9473973,"5,03 %",3269185,3781314,"-0,27 %",-512129,8961844,"4,76 %",7024804,"3,73 %",,2663357,37628255,"328,55 %",40291612,"17,43 %",,28088877,"69,71 %","25,01 %",12202735,"30,29 %","43,44 %",40291612,750000,11452735,18831993
Volda Bil AS,929799798,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",14,2023,44076341,42578667,1497675,"3,40 %",27878,195172,"-0,38 %",-167294,1330380,"3,02 %",1037696,"2,35 %",1037696,4846942,8453360,"157,26 %",13300302,"7,80 %",,5486463,"41,25 %","18,91 %",7813839,"58,75 %","142,42 %",13300302,2438267,5375572,3148310
VOLDENE BIL AS,979376030,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",8,2023,88518521,87200822,1317698,"1,49 %",2035,614250,"-0,69 %",-612215,705483,"0,80 %",548594,"0,62 %",548594,999508,17445008,"163,12 %",18444516,"2,97 %",,7749824,"42,02 %","7,08 %",10694692,"57,98 %","138,00 %",18444516,0,10694692,11064815
VOLMAX AS,984674104,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",306,2023,1399215186,1356609271,42605915,"3,04 %",5262795,11785107,"-0,47 %",-6522312,36083603,"2,58 %",27957060,"2,00 %",27957060,102353169,520825055,"133,46 %",623178224,"4,49 %",,187494447,"30,09 %","14,91 %",435683777,"69,91 %","232,37 %",623178224,45429116,390254660,4572599
VOLVO CAR NORWAY AS,958684975,45.111,"Agentur- og engroshandel med biler og lette motorvogner, unntatt motorsykler",49,2023,5777311316,5759597282,17714034,"0,31 %",12674924,1808286,"0,19 %",10866639,28580673,"0,49 %",21139404,"0,37 %",21139404,97432897,668738356,"96,65 %",766171254,"2,76 %",,66011628,"8,62 %","32,02 %",700159626,"91,38 %","1060,66 %",766171254,8207249,691952377,117904313
VOLVO CAR STOR-OSLO AS,928148491,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",195,2023,2150703962,2094269552,56434410,"2,62 %",1401667,17543089,"-0,75 %",-16141422,40292988,"1,87 %",31405770,"1,46 %",31405770,234534143,434091939,"88,31 %",668626082,"4,70 %",,171353690,"25,63 %","18,33 %",497272392,"74,37 %","290,20 %",668626082,5690839,491581553,11029251
VOLVO NORGE AS,910712799,45.191,"Agentur- og engroshandel med andre motorvogner, unntatt motorsykler",354,2023,2349139000,2263094000,86046000,"3,66 %",81216000,14058000,"2,86 %",67157000,153203000,"6,52 %",135577000,"5,77 %",136074000,808203000,928420000,"142,67 %",1736623000,"7,81 %",,216772000,"12,48 %","62,54 %",1519851000,"87,52 %","701,13 %",1736623000,869097000,650755000,6635986
VOSS AUTO OG SERVICENTER AS,977168082,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",7,2023,4582912,4666019,-83107,"-1,81 %",10829,2698,"0,18 %",8131,-74975,"-1,64 %",-58480,"-1,28 %",-58480,157337,5075610,"132,39 %",5232947,"-1,12 %",,1399223,"26,74 %","-4,18 %",3833724,"73,26 %","273,99 %",5232947,0,3833724,654702
VOSS BIL LASTEBIL AS,979490895,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,15125612,14175497,950115,"6,28 %",50742,3559,"0,31 %",47183,997298,"6,59 %",776086,"5,13 %",776086,250085,4093932,"146,71 %",4344017,"17,87 %",,1553599,"35,76 %","49,95 %",2790418,"64,24 %","179,61 %",4344017,0,2790418,2520935
VOSSEVANGEN BIL AS,835188582,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",7,2023,49240518,48536126,704392,"1,43 %",12398,620637,"-1,24 %",-608239,96153,"0,20 %",96153,"0,20 %",96153,1381711,14002217,"108,73 %",15383928,"0,63 %",,34075,"0,22 %","282,18 %",15349853,"99,78 %","45047,26 %",15383928,2472098,12877755,7034360
